mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur
mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur
mur;vide;mario;mur;mur;mur;mur;mur;mur;mur;mur;mur
mur;vide;mur;mur;mur;vide;vide;mur;mur;mur;mur;mur
mur;objectif;vide;vide;mur;vide;vide;vide;vide;mur;mur;mur
mur;vide;vide;vide;vide;objectif;vide;vide;vide;mur;mur;mur
mur;mur;objectif;vide;vide;vide;vide;mur;mur;mur;mur;mur
mur;mur;vide;caisse;vide;vide;vide;caisse;vide;mur;mur;mur
mur;mur;vide;vide;vide;caisse;vide;vide;vide;mur;mur;mur
mur;mur;vide;mur;vide;vide;vide;vide;mur;mur;mur;mur
mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur
mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur
