mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur
mur;mur;mur;mur;mur;vide;vide;mur;mur;mur;mur;mur
mur;mur;mur;mur;mur;mario;vide;vide;vide;vide;vide;mur
mur;mur;mur;mur;vide;vide;vide;mur;mur;vide;vide;mur
mur;objectif;objectif;mur;vide;mur;vide;mur;mur;vide;mur;mur
vide;vide;vide;vide;vide;caisse;vide;vide;mur;caisse;mur;mur
vide;vide;vide;mur;vide;mur;vide;vide;vide;vide;mur;mur
mur;mur;mur;mur;vide;vide;vide;mur;mur;caisse;mur;mur
mur;mur;mur;mur;mur;mur;mur;mur;mur;vide;vide;mur
mur;mur;mur;mur;objectif;vide;vide;vide;vide;vide;vide;mur
mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur
mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur
