mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur
mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur
mur;mur;vide;vide;vide;vide;mur;mur;mur;mur;mur;mur
mur;mur;caisse;mur;mur;vide;vide;mur;mur;mur;mur;mur
mur;mur;vide;mur;mur;objectif;vide;vide;vide;mur;mur;mur
mur;mur;vide;mur;mur;mur;mur;vide;vide;mur;mur;mur
mur;mur;objectif;mur;mur;mur;mur;vide;mur;mur;mur;mur
mur;mur;vide;mur;vide;mur;mur;caisse;vide;mur;mur;mur
mur;mur;vide;objectif;vide;caisse;vide;vide;vide;mur;mur;mur
mur;mur;mario;mur;mur;vide;vide;vide;mur;mur;mur;mur
mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur
mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur;mur
